Fälle;Prognose;Dunkelziffer;Einwohner;Landkreis;Bundesland
42;169.0;127.0;313092;SK Karlsruhe;Baden-Württemberg
52;85.0;33.0;285325;LK Konstanz;Baden-Württemberg
45;169.0;124.0;199742;LK Biberach;Baden-Württemberg
107;85.0;-22.0;284285;LK Ravensburg;Baden-Württemberg
5;85.0;80.0;136981;SK Ingolstadt;Bayern
38;85.0;47.0;295135;SK Augsburg;Bayern
138;171.0;33.0;3644826;SK Berlin Mitte;Berlin
50;85.0;35.0;300880;LK Bautzen;Sachsen
129;85.0;-44.0;587857;SK Leipzig;Sachsen
35;65.0;30.0;276594;LK Hildesheim;Niedersachsen
5;129.0;124.0;76278;SK Wilhelmshaven;Niedersachsen
100;66.0;-34.0;447614;LK Steinfurt;Nordrhein-Westfalen
83;65.0;-18.0;277783;LK Warendorf;Nordrhein-Westfalen
64;65.0;1.0;354092;LK Offenbach;Hessen
31;65.0;34.0;187157;LK Rheingau-Taunus-Kreis;Hessen
39;65.0;26.0;98561;LK Bitburg-Prüm;Rheinland-Pfalz
21;65.0;44.0;55123;SK Baden-Baden;Baden-Württemberg
81;130.0;49.0;231018;LK Rastatt;Baden-Württemberg
30;65.0;35.0;143535;LK Neckar-Odenwald-Kreis;Baden-Württemberg
28;65.0;37.0;198905;LK Enzkreis;Baden-Württemberg
14;65.0;51.0;117935;LK Freudenstadt;Baden-Württemberg
45;65.0;20.0;212381;LK Schwarzwald-Baar-Kreis;Baden-Württemberg
10;65.0;55.0;45930;SK Hof;Bayern
18;130.0;112.0;117387;LK Fürth;Bayern
84;131.0;47.0;554649;SK Dresden;Sachsen
28;65.0;37.0;213699;SK Erfurt;Thüringen
3;100.0;97.0;98460;LK Friesland;Niedersachsen
1;50.0;49.0;103366;LK Merzig-Wadern;Saarland
32;101.0;69.0;3644826;SK Berlin Mitte;Berlin
25;50.0;25.0;114429;LK Spree-Neiße;Brandenburg
13;50.0;37.0;168296;LK Teltow-Fläming;Brandenburg
17;101.0;84.0;215113;LK Rostock;Mecklenburg-Vorpommern
12;77.0;65.0;128647;LK Plön;Schleswig-Holstein
75;77.0;2.0;164748;SK Osnabrück;Niedersachsen
57;39.0;-18.0;325657;LK Emsland;Niedersachsen
14;39.0;25.0;130144;LK Oldenburg;Niedersachsen
15;39.0;24.0;113634;SK Bremerhaven;Bremen
9;39.0;30.0;117383;SK Bottrop;Nordrhein-Westfalen
11;39.0;28.0;333786;SK Bielefeld;Nordrhein-Westfalen
11;39.0;28.0;188814;SK Hagen;Nordrhein-Westfalen
6;39.0;33.0;128744;SK Offenbach;Hessen
52;39.0;-13.0;278342;SK Wiesbaden;Hessen
35;231.0;196.0;246648;LK Marburg-Biedenkopf;Hessen
76;78.0;2.0;222584;LK Fulda;Hessen
120;39.0;-81.0;214259;LK Mayen-Koblenz;Rheinland-Pfalz
58;77.0;19.0;181941;LK Neuwied;Rheinland-Pfalz
60;39.0;-21.0;201597;LK Westerwaldkreis;Rheinland-Pfalz
97;39.0;-58.0;195861;LK Schwäbisch Hall;Baden-Württemberg
45;77.0;32.0;153884;LK Dachau;Bayern
45;116.0;71.0;137660;LK Erding;Bayern
24;39.0;15.0;88467;LK Garmisch-Partenkirchen;Bayern
18;39.0;21.0;127151;LK Pfaffenhofen a.d.Ilm;Bayern
42;77.0;35.0;122258;LK Kelheim;Bayern
68;39.0;-29.0;158698;LK Landshut;Bayern
55;39.0;-16.0;120659;LK Rottal-Inn;Bayern
29;39.0;10.0;100649;LK Straubing-Bogen;Bayern
35;39.0;4.0;96217;LK Dingolfing-Landau;Bayern
27;78.0;51.0;193572;LK Regensburg;Bayern
9;77.0;68.0;100364;LK Neustadt a.d.Aisch-Bad Windsheim;Bayern
13;39.0;26.0;126365;LK Main-Spessart;Bayern
10;39.0;29.0;161834;LK Würzburg;Bayern
36;191.0;155.0;81669;LK Lindau;Bayern
10;39.0;29.0;133496;LK Donau-Ries;Bayern
80;39.0;-41.0;329708;LK Stadtverband Saarbrücken;Saarland
25;39.0;14.0;132206;LK Neunkirchen;Saarland
24;39.0;15.0;195201;LK Saarlouis;Saarland
28;77.0;49.0;142631;LK Saar-Pfalz-Kreis;Saarland
97;78.0;-19.0;3644826;SK Berlin Mitte;Berlin
40;117.0;77.0;3644826;SK Berlin Mitte;Berlin
8;39.0;31.0;102638;LK Elbe-Elster;Brandenburg
5;39.0;34.0;110476;LK Oberspreewald-Lausitz;Brandenburg
12;39.0;27.0;254894;LK Görlitz;Sachsen
31;78.0;47.0;257763;LK Leipzig;Sachsen
39;90.0;51.0;247548;SK Kiel;Schleswig-Holstein
12;30.0;18.0;200581;LK Ostholstein;Schleswig-Holstein
61;30.0;-31.0;216886;LK Diepholz;Niedersachsen
23;30.0;7.0;148559;LK Hameln-Pyrmont;Niedersachsen
23;178.0;155.0;113517;LK Osterholz;Niedersachsen
25;89.0;64.0;136792;LK Verden;Niedersachsen
